epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,546.33,1.4964,2.85976,1.25843,0.0044,0.72751,0.1831,0.10887,1.29692,3.48607,1.10791,0.000466612,0.000466612,0.000466612
2,1085.55,1.38901,1.87533,1.1847,0.78902,0.33833,0.42489,0.24335,1.36918,2.47534,1.222,0.000924275,0.000924275,0.000924275
